#{"t_start": 1631093261.7550159, "env_id": null}
r,l,t
-278.480501,1500,5593.2161
-34.893267,1500,5651.931444
-712.770532,992,5691.978641
308.322007,1005,5731.647919
419.2296,685,5758.545252
241.323219,155,5764.641054
342.462176,114,5769.158171
664.553763,303,5781.178628
194.391079,1417,5836.970821
394.440871,38,5838.519997
738.012967,249,5848.465815
416.164072,236,5857.809934
694.638948,136,5863.277908
536.787684,128,5868.415584
413.457871,1448,5927.860241
350.482544,113,5932.317867
418.172605,307,5944.861
-303.829848,641,5974.154282
-421.397032,1162,6020.7088
192.017013,634,6045.976627
-325.986279,366,6061.661239
-431.327809,1152,6110.340622
-491.767078,1145,6158.208965
-359.844009,1500,6219.106596
-366.163564,434,6237.621114
-5.97747,1500,6298.183684
-122.881423,1500,6358.032776
-21.801906,1500,6418.084777
-359.410035,1500,6478.479378
239.927668,268,6489.671802
375.082961,71,6492.736887
307.948022,73,6495.64945
-125.285445,335,6510.048122
530.949927,530,6531.126189
193.655388,1500,6589.989832
-316.212676,1500,6650.387962
-334.858408,1500,6709.645554
-165.920848,1500,6770.509576
178.505316,1500,6831.627621
-39.575092,1500,6892.637288
-201.291707,822,6928.149168
180.523225,1500,6989.923537
-129.184877,1500,7050.738082
-510.120109,1500,7112.276423
152.096786,1500,7173.218991
-168.901356,1500,7232.190749
133.143465,1500,7291.759875
512.236457,1500,7351.400426
-92.385059,1500,7412.423004
-67.459172,1500,7471.687007
-511.700508,971,7511.880768
-271.600302,867,7548.479536
-456.630421,869,7584.079087
-563.648719,1028,7625.65202
-210.138824,144,7631.689137
-196.995276,1500,7691.905311
-73.803783,1500,7752.10019
-142.415223,1500,7812.376233
-140.804169,1500,7871.489099
-255.695745,436,7889.697313
0.67776,1500,7949.772704
-253.301948,1500,8010.067123
-372.252187,1500,8070.385192
-128.042734,1500,8131.323647
-83.593508,1500,8190.92942
-340.099084,1500,8250.143196
148.875056,1500,8309.921502
252.761005,1500,8371.54314
-749.107338,980,8410.833336
-418.489436,1353,8465.887015
-150.958106,1500,8525.891261
20.701908,1500,8585.765482
-189.007807,1500,8645.850191
126.31739,1500,8705.324256
-72.547968,1500,8764.809344
-87.480357,1500,8826.026877
35.681603,1500,8886.612686
-222.107602,934,8924.98556
-454.280241,1466,8985.017835
-266.358318,1500,9045.404166
-223.59788,1500,9105.333941
20.859316,1500,9165.300546
-206.159272,1500,9226.772948
104.223867,1500,9286.608895
-21.722453,1500,9346.751731
-36.431539,1500,9409.597178
5.959165,1500,9469.887096
56.202914,1500,9531.540549
-132.735669,695,9559.699872
-385.829809,1500,9619.919351
244.564084,1500,9679.648044
-288.062998,388,9695.60723
8.103188,1500,9755.418045
-221.951609,1500,9815.351923
-102.569442,1500,9874.863198
-246.534178,1500,9935.152332
-603.663126,1500,9994.81713
-401.403494,612,10020.910728
-154.555111,515,10042.369565
5.870264,1464,10100.588331
-403.141853,1500,10163.470646
-429.482144,1500,10222.964015
48.877242,1500,10283.275538
-608.960626,1500,10341.939517
-314.769091,442,10360.04121
-318.200866,1500,10419.099687
-241.410374,1500,10477.752909
-159.155771,1500,10536.917359
-372.605275,1367,10593.818232
-210.512002,1500,10653.102942
-236.21647,1500,10713.543069
102.363636,1500,10772.322178
-92.919526,1500,10832.085024
78.850674,1131,10876.321914
-499.09593,1500,10935.641381
-221.663918,1500,10995.784237
-30.30042,1500,11057.474574
209.675088,1500,11116.94366
-83.880894,1500,11176.087987
-137.2093,1500,11234.831396
-194.14244,1107,11279.992985
-314.037938,1500,11339.018845
-266.124195,648,11365.838956
173.216019,1271,11415.364591
-3.904767,1500,11473.395691
260.714274,1500,11531.63089
-446.072172,1395,11587.2989
-186.660193,238,11597.143604
-120.258796,1500,11655.299093
-309.059907,838,11689.459179
-112.17823,1500,11748.441707
-51.871356,1500,11809.182418
152.451077,1500,11869.188518
-195.384038,1500,11929.149143
-294.508746,1500,11988.109689
-57.665078,1500,12047.245596
-277.436196,1500,12106.543956
-272.810778,1500,12166.028214
-384.675288,1500,12226.250262
313.541474,1036,12268.00989
-141.845434,1500,12327.860384
-6.111591,1500,12387.105295
-146.380324,1500,12447.13975
184.504007,1500,12505.597692
106.091884,1500,12564.49042
-200.744317,286,12576.228215
-443.160698,1500,12636.255279
167.558097,1344,12689.180482
264.164247,1500,12748.967928
-477.290891,1500,12807.693493
-117.266906,1500,12866.674507
26.535251,1500,12925.397645
-304.270439,1500,12983.861532
-254.771357,1500,13042.629534
-78.292846,1500,13101.292656
-183.405631,1500,13160.342775
-430.246797,1500,13218.919206
-348.335871,406,13235.872257
-576.483852,1500,13294.69634
-119.658258,1500,13352.928063
12.665634,1500,13411.236114
-494.684075,1500,13470.47012
-80.208197,1500,13530.450224
-45.084944,564,13553.665975
-119.290723,1500,13614.215869
7.618477,1500,13673.030649
-275.571538,1500,13731.534942
-170.589562,1500,13791.040665
-244.31901,1500,13849.834971
-298.92614,1500,13910.144518
-298.127622,1500,13968.871181
-434.987415,706,13997.721635
-252.386905,1500,14057.006969
-393.677849,1500,14115.191375
-317.567839,1500,14173.58835
-472.359333,1180,14221.20052
-45.927736,683,14249.513973
290.121183,1500,14308.464611
143.375634,1500,14366.945557
-90.218143,1500,14425.346211
133.84719,1500,14483.912851
-226.652971,1500,14542.221887
159.317733,1500,14602.03076
-304.868617,1064,14645.027891
-230.366996,1500,14703.380955
-142.882239,1500,14761.688897
-432.911446,905,14797.588027
80.551096,1500,14855.888517
-242.349888,1500,14914.355814
-275.981676,658,14941.55101
-101.439295,1500,14999.946363
-299.026558,379,15015.773375
-276.695816,1142,15062.32239
-158.844221,1500,15120.649279
-281.670812,1500,15178.841321
-29.635131,1500,15237.516366
-260.304862,1500,15295.824554
-76.077292,1500,15354.180577
-303.712145,784,15386.36896
-135.668609,1500,15446.438412
-557.47182,1500,15505.050474
95.861682,1099,15548.325184
-350.167566,703,15577.080431
-516.668719,961,15616.441575
-162.375927,1500,15677.59028
-259.877322,1500,15736.979561
-141.71327,275,15748.609262
-181.404369,1500,15808.666487
-24.032146,1500,15867.466084
-290.640336,1500,15927.034279
-346.801242,1500,15986.524744
-173.405146,1500,16045.315024
-551.423542,1500,16104.393588
-243.279602,1500,16163.088346
-75.954522,1500,16221.809426
-331.294745,1500,16280.240852
19.420378,1500,16338.871713
-54.06858,1500,16397.664984
162.946166,1500,16456.558861
-128.305964,1500,16514.967952
-347.50365,1262,16565.423622
200.938325,540,16586.41885
-386.338278,1500,16645.613483
-307.861044,1500,16705.486907
-204.399027,1500,16764.123757
-377.540623,1500,16822.76462
-471.818685,1500,16881.913033
63.083417,1500,16940.373463
-45.356015,1500,16998.723377
31.292484,1500,17057.171367
-33.912924,1500,17115.737955
-71.908883,1500,17174.154258
-457.282282,1500,17232.482432
-239.302838,1500,17291.44945
-195.89629,1500,17350.184773
-84.46483,1500,17408.651112
-162.479383,1500,17467.059688
-218.983438,598,17492.010928
-284.854924,726,17521.678056
-332.365214,1500,17579.995125
5.580371,1500,17638.933295
-374.445517,1500,17697.318289
116.940552,1500,17756.241274
-614.731497,1448,17814.3669
-285.393389,1500,17875.515505
-152.839791,1500,17933.885723
126.457206,901,17969.019416
110.003391,1500,18027.196703
-359.181919,1069,18070.894619
168.071747,774,18101.352293
-281.773948,1500,18159.629171
-22.524042,1500,18218.566574
94.627533,1500,18277.868658
-304.97906,1500,18336.244944
-87.054186,1500,18394.332726
-294.736657,631,18420.156537
-343.214871,878,18455.62313
-74.506255,1500,18514.338657
-24.220263,1500,18572.796904
-173.628035,1500,18631.758212
-335.70789,1500,18690.082729
-62.828506,1500,18749.049642
-230.650046,1500,18809.172881
-472.383113,1500,18868.742162
-268.153901,1448,18926.283013
-13.458373,1500,18986.597744
514.596751,1500,19045.400643
-251.087953,1500,19105.050155
-139.390162,1500,19164.377815
-330.728518,1500,19223.48049
-391.098472,1500,19282.627682
-117.832483,1500,19341.363088
-157.656033,1500,19400.312428
-387.061613,1500,19458.893278
-169.02469,1500,19518.188967
-15.663433,1500,19576.571432
-121.035651,1500,19634.853556
23.688767,1500,19693.543829
-5.462094,1500,19751.872258
-34.068425,1500,19812.093248
-417.280331,1224,19862.24821
-61.915974,1500,19920.739995
-466.672292,1500,19979.147463
-602.263068,1368,20034.512201
-588.394233,816,20067.331155
-35.092263,1500,20125.639959
-304.84695,1500,20184.713528
-229.17602,491,20204.893509
22.919947,1500,20263.312532
-262.491061,1500,20324.631654
-140.021864,1500,20385.622973
-98.814619,853,20420.055479
-320.122131,758,20451.31945
-262.494961,608,20476.160581
-158.321082,1500,20534.5327
-506.950368,1412,20591.422192
139.224507,1500,20649.747809
-225.553441,820,20683.160909
-181.600777,1500,20741.867123
-84.782223,1500,20800.124285
-442.744797,1294,20852.213143
-30.720129,1500,20910.906466
47.873798,1500,20969.47447
-144.206372,1069,21014.639657
-139.925571,1500,21072.813674
-314.349774,1500,21131.409935
-251.202489,1500,21190.652967
-337.96903,1500,21249.241647
-196.41287,649,21275.438382
-95.826939,1500,21333.879855
-265.159593,1500,21392.210039
-282.667954,1500,21450.505177
84.35785,1500,21508.810012
-290.141795,1500,21567.156392
21.995094,1500,21626.052336
-211.749366,616,21651.497079
-266.109424,1500,21710.589586
56.445993,1500,21769.084892
-52.317505,1500,21827.53577
-211.055769,1500,21886.747857
94.140946,1500,21946.501789
-52.751945,1500,22004.988782
-148.427026,1500,22063.846964
-24.797219,884,22100.18158
-190.466294,1500,22158.979203
-253.965173,1500,22218.961481
-334.934932,1500,22279.409869
-74.828423,1330,22335.315977
-478.60323,1500,22393.577271
-155.669038,1500,22452.260541
-12.217677,1500,22510.776335
-219.823965,477,22530.736318
-129.983784,1500,22589.451725
-270.679923,1500,22647.953506
-272.542389,813,22680.972094
-315.644661,1500,22740.786491
-139.439307,1500,22799.132917
-220.098296,1500,22857.441915
-411.657124,1500,22915.67004
-309.889828,1500,22974.074584
-188.282724,1500,23032.68579
-132.478009,1500,23091.474319
-185.139334,1500,23149.528444
-164.208589,1500,23207.732862
65.931087,1500,23266.034891
-123.729192,1500,23324.669944
-279.91991,1500,23383.658149
-271.282274,1500,23441.998019
11.343861,1500,23500.954331
12.899324,1500,23559.463789
-465.249851,1500,23617.889565
-170.861167,1500,23676.251375
-7.157786,1500,23734.478026
-373.298055,1500,23793.173633
8.206106,1500,23851.416644
-401.291047,1500,23909.763668
-141.558115,1500,23968.186219
-116.974543,1500,24026.565028
-237.228842,1500,24085.059118
-216.032558,1500,24143.893855
-78.116085,1500,24202.432491
31.293405,1500,24261.071851
-43.121716,1500,24319.34924
41.032802,1500,24377.839455
-65.329693,1500,24436.088535
-203.593819,1500,24497.118412
-33.693207,1500,24556.074429
-201.709253,1500,24615.016302
-182.030573,1500,24673.309757
-144.521584,1500,24731.877618
-262.388483,1500,24791.84283
-275.08124,1500,24850.247942
-195.353254,1500,24908.534227
-272.724946,320,24921.917634
-117.240162,1500,24980.304191
-262.347328,1500,25038.781984
-284.216828,1500,25097.371177
-175.708291,1500,25159.364361
-405.233693,1500,25218.16608
-249.564958,1500,25277.691834
-464.438202,1500,25335.971854
-332.874383,1500,25395.911331
38.189454,1500,25454.208639
-87.527378,1500,25512.672089
-79.741777,1500,25570.976486
-182.741902,1500,25631.890319
-190.551572,1500,25690.220619
-65.932852,1500,25748.466924
-386.082384,1500,25806.797457
-41.316182,1500,25865.282881
-119.475603,1500,25924.348499
-153.084467,1500,25982.598703
102.573949,1500,26040.923354
-100.390808,1500,26099.480663
-232.792421,1500,26158.241561
-66.84271,1500,26217.170822
-256.120961,1500,26276.784858
88.482421,1500,26335.806129
-183.590311,1500,26394.605239
-48.498153,1500,26453.050812
-187.939736,1500,26515.19346
-165.633345,1500,26574.202288
-111.435556,1500,26632.814041
-105.986462,1500,26691.2906
-257.242764,1500,26749.623996
-126.119732,1500,26810.767124
-179.463766,1500,26871.072626
-79.148937,1500,26931.105895
-208.656654,1281,26983.403185
-266.735551,1500,27041.68171
-302.730172,1500,27100.621751
185.196932,1500,27159.338119
-147.321609,1500,27217.694774
-160.188245,1500,27276.70087
-284.146006,1500,27337.906601
-123.453886,1500,27396.367675
-225.591335,1500,27455.02139
-270.885231,515,27476.253603
-164.177037,1500,27535.557648
-175.239435,1500,27593.889194
105.079213,1500,27652.535552
-93.844494,1500,27711.284695
-147.217216,1500,27770.492677
-346.743282,1500,27828.882904
-110.055048,1500,27887.565511
-91.599246,1500,27948.763686
-210.563281,1500,28008.688097
-205.690926,1500,28069.642167
-208.000969,1500,28128.18997
-94.55554,1500,28189.424221
-242.793878,1500,28247.856505
-227.32163,1500,28308.195654
-96.685367,1500,28367.006882
-222.322184,1500,28425.402327
-24.535016,1500,28483.788508
-149.535834,1500,28544.209817
-309.314745,1500,28603.669421
-84.658254,1500,28662.39185
-153.472948,1500,28721.234063
-79.058898,1500,28780.102352
-37.030067,1500,28839.723647
-400.801254,1500,28899.08789
-74.304139,1500,28958.4998
143.371704,1500,29017.568926
71.187188,1500,29075.930821
-179.899634,1500,29134.329226
-349.386552,1309,29188.635765
-50.702,1500,29247.131054
-466.959947,1007,29287.75628
-43.955117,1500,29346.357589
-101.377454,1500,29404.486781
-127.148215,1500,29462.697265
-77.146776,1500,29521.253987
-222.074024,1500,29580.078752
-71.467031,1500,29639.613242
-274.682661,1500,29698.757398
-237.336024,1500,29757.152126
-228.130619,1500,29816.630738
-30.643275,1500,29874.951234
-317.270487,1318,29928.841049
-365.761416,1500,29987.744453
-38.423218,1500,30047.3366
-29.950238,1500,30105.832031
-44.894708,1500,30164.536337
-115.647014,1500,30224.060364
-133.240202,1500,30283.357807
-131.443455,1500,30341.8001
-63.622785,1500,30400.382774
-181.410025,1500,30459.418733
-52.525119,1500,30517.909646
177.017699,1500,30576.292091
-7.336777,1500,30634.821955
-458.026312,1500,30693.61424
-207.404726,1500,30752.432272
150.611899,1500,30810.969986
-84.77819,1500,30869.65689
93.247469,1500,30928.201667
55.674715,1500,30986.990641
-117.531854,1500,31045.842306
-217.555469,1500,31105.75492
-326.017809,1500,31164.677382
-222.546434,1447,31223.569982
-103.021192,1500,31281.94865
-283.973216,1500,31340.192734
-106.520051,1500,31398.548197
-194.548522,1500,31456.860616
-314.545221,1500,31515.091607
-261.300742,1113,31561.07758
-9.960908,1500,31619.42946
-275.220311,1500,31678.047814
-146.90776,1500,31736.377445
-209.489682,1500,31794.725356
-182.487884,249,31805.193745
9.56977,1500,31863.543648
-14.231886,1500,31921.795253
58.753025,1500,31980.202347
-5.663367,1500,32038.602371
